id_rest,id_OSM_rest,name,bbox
lon_9.5894869_lat_54.4432916,way/479915950,Lottorf,"[9.586240577263306, 54.44161221727823, 9.593947659769098, 54.44610404500085]"
lon_8.4826799_lat_50.0038695,way/481191806,Neuhöfer Tann,"[8.476405329811852, 50.000071981924364, 8.483379717078792, 50.004567207349055]"
lon_8.4872997_lat_50.0061725,way/481191807,Hohe Wart,"[8.485626248798429, 50.00562380767037, 8.492601128304269, 50.010119030445345]"
lon_9.9496082_lat_53.0490828,way/493475281,Timmerloh,"[9.946632082758528, 53.045815537809624, 9.95408779307512, 53.05030841854604]"
lon_10.0219933_lat_53.1474029,way/493780057,Auegrund,"[10.019945676078354, 53.147204677909876, 10.027418708348332, 53.15169748264468]"
lon_10.0880844_lat_53.254075,way/494548758,Utspann,"[10.083521608442984, 53.24965825451535, 10.09101294858075, 53.25415097949747]"
lon_10.0771629_lat_53.2925598,way/494549989,Eichberg,"[10.072942292360585, 53.288836428019984, 10.080440346412567, 53.293329123901835]"
lon_9.9969879_lat_53.1357379,way/494992585,Vorm Naturschutzpark,"[9.992639497218356, 53.133958523618325, 10.000110532984483, 53.138451337085904]"
lon_9.7140608_lat_52.6397167,way/496189215,Südhorn,"[9.71227965075544, 52.6378266343067, 9.719665590938751, 52.64231982662181]"
lon_7.2544308_lat_52.9241632,way/514002514,Walchum-Ost,"[7.24761687910545, 52.919972532070155, 7.255051081102137, 52.92446550791961]"
lon_7.1723831_lat_52.7953751,way/514002527,Rastplatz Hebel,"[7.168150122212804, 52.79499390900811, 7.175562811161084, 52.79948698082431]"
lon_9.3286652_lat_54.8045491,way/518873223,Ellund,"[9.323451215778716, 54.80108770904794, 9.331226541539737, 54.8055792684399]"
lon_9.7581285_lat_52.5049195,way/585552112,Rastplatz Bissendorf Nord,"[9.755484213935526, 52.502471247019606, 9.762847822224925, 52.50696454094795]"
lon_8.324182_lat_50.6472087,way/608222579,Rastplatz Hohenrain,"[8.320226209082277, 50.645377374449566, 8.327295674063654, 50.64987209834351]"
lon_8.324524_lat_50.6450633,way/608222580,Rastplatz Ebersbach,"[8.319418437060682, 50.64315783891588, 8.326487275640696, 50.64765256604768]"
lon_8.5415272_lat_49.8947103,way/685351861,Büttelborn Nord,"[8.539692896210207, 49.89236521407616, 8.546651553399625, 49.89686052447345]"
lon_8.2028282_lat_52.2243557,way/704772839,Rottkamp-Nord,"[8.196536356463863, 52.22193731834529, 8.20385347634333, 52.22643082680705]"
lon_8.1997168_lat_52.2249111,way/704772840,Rottkamp Süd,"[8.199016657937381, 52.22178464066843, 8.206333595524097, 52.22627814997952]"
lon_8.6168768_lat_50.5273434,way/722391611,Pfaffenpfad,"[8.61500832766454, 50.52517798074428, 8.62205963397589, 50.529672798852175]"
lon_13.7994366_lat_52.4570641,way/736652625,Kalkberge,"[13.797056037878798, 52.45395609221297, 13.804411341133184, 52.45844942416767]"
lon_8.6024977_lat_49.6962206,way/739432484,Parkplatz Scheidweg,"[8.597020301528728, 49.69597238275996, 8.603950778366075, 49.700467846841256]"
lon_7.1913537_lat_52.6347607,way/746128010,Heseper Moor Ost,"[7.188191831679963, 52.632661833144994, 7.195577176796735, 52.637155028155746]"
lon_7.1908361_lat_52.6363967,way/746128011,Heseper Moor West,"[7.183976486095419, 52.63406088055226, 7.191361841290323, 52.63855407551735]"
lon_13.5622182_lat_52.3790797,way/769777309,,"[13.556896518350062, 52.37554381503679, 13.56423882496891, 52.380037206759596]"
lon_13.5617962_lat_52.376454,way/769777310,,"[13.56136315263339, 52.37522255791165, 13.568705510592341, 52.379715949397735]"
lon_8.1506512_lat_50.7729109,way/816288542,Rastplatz Kalteiche,"[8.145496366315095, 50.77006548549765, 8.152584673014948, 50.77456011240161]"
lon_8.1514665_lat_50.7732654,way/816288543,Rastplatz Am Wildenstein,"[8.14779602517448, 50.770451651198314, 8.154884399290689, 50.77494627775662]"
lon_8.2810761_lat_50.7241346,way/816288565,Rastplatz Gaulskopf,"[8.279216964137014, 50.72273049178399, 8.28629792419834, 50.72722515641315]"
lon_8.2881044_lat_50.7075757,way/816288567,Rastplatz Burger Hain,"[8.286927290334974, 50.707106470245876, 8.294005723995047, 50.711601147875456]"
lon_8.2885542_lat_50.6684857,way/816288575,Rastplatz Am Rehberg,"[8.287986270652304, 50.66501693615796, 8.295058651189969, 50.66951164499279]"
