id_rest,id_OSM_rest,name,bbox
lon_9.4711124_lat_52.8827146,way/201734481,Hamwiede Nord,"[9.47028053462708, 52.88094021041106, 9.477707815868765, 52.885433217041694]"
lon_9.6499469_lat_52.7971201,way/201921095,Krelinger Heide,"[9.648721112325319, 52.79415280408662, 9.656133729293074, 52.79864587622533]"
lon_9.7749645_lat_52.577053,way/202065755,Up´n Bummelskampe,"[9.772391357713316, 52.573247833278785, 9.779766634088494, 52.57774107400008]"
lon_9.7769111_lat_52.5742903,way/202066346,Osterriehe,"[9.77260593356743, 52.5734736685547, 9.779981269015398, 52.57796690900727]"
lon_9.7910429_lat_52.9061454,way/202258565,Dorfmark,"[9.78736862182708, 52.904035684389314, 9.794799773924636, 52.90852867379304]"
lon_9.679135_lat_52.8070774,way/202276064,Wolfsgrund Ost,"[9.678856757291546, 52.80717412908653, 9.686271574774318, 52.811667191370226]"
lon_9.6807029_lat_52.8134767,way/202276065,Wolfsgrund West,"[9.674789211800022, 52.80958587930878, 9.682204439642064, 52.81407893975567]"
lon_9.7597687_lat_52.8860299,way/202341654,Steinbach,"[9.75497321343845, 52.882048279147945, 9.762400871387964, 52.88654128410089]"
lon_9.9534437_lat_53.3780392,way/205198182,Sunderblick,"[9.94908525561675, 53.37571521608395, 9.956598488134587, 53.38020784646593]"
lon_9.9577331_lat_53.3781014,way/205198183,Hittfeld,"[9.956925070499205, 53.374259233717005, 9.96443831520538, 53.37875186404656]"
lon_9.8798749_lat_53.3889549,way/206005823,Rosengarten,"[9.877005368942779, 53.38737168119295, 9.884520766287274, 53.39186430226547]"
lon_13.8520632_lat_53.0925266,way/206622294,Wilmersdorfer Forst,"[13.849086107700685, 53.089575411098174, 13.856549375651866, 53.09406825860946]"
lon_7.3726926_lat_53.2222086,way/210112745,Rheiderland,"[7.3696909569088485, 53.21988838248797, 7.377176800747429, 53.22438113135135]"
lon_7.3693221_lat_53.2220034,way/210112746,Rheiderland,"[7.366662263602968, 53.21985406805911, 7.3741482516528825, 53.22434681629522]"
lon_12.0320348_lat_51.2100148,way/215817520,Pörstental,"[12.02717761051673, 51.20612074311504, 12.034332589314257, 51.21061503297448]"
lon_10.6333468_lat_52.2512109,way/216914010,Herzogsberge,"[10.626281078166292, 52.24868033786009, 10.633602359926938, 52.25317382694831]"
lon_10.6320454_lat_52.2513501,way/216914011,Herzogsberge,"[10.625379715345193, 52.248999285861146, 10.632701141800357, 52.253492774276424]"
lon_10.0413714_lat_53.3330705,way/217667294,Hasselhöhe,"[10.040373347107181, 53.328820138024724, 10.047878342684296, 53.33331280390219]"
lon_10.0385684_lat_53.3493845,way/217670991,Seevetal,"[10.03504819963545, 53.345069994644454, 10.042556036834613, 53.34956264826326]"
lon_9.6802586_lat_50.6048477,way/221257652,Hummelskopf,"[9.67592046329842, 50.604504325196814, 9.682983650516997, 50.60899908157959]"
lon_9.7447582_lat_50.4360417,way/221257679,Lohmühle,"[9.738701171555565, 50.43423971131448, 9.745739054110718, 50.43873459954126]"
lon_9.4723046_lat_51.1759244,way/221257680,Markwald,"[9.466147228947618, 51.17494255158736, 9.473297178733118, 51.179436866539945]"
lon_9.474156_lat_51.1815402,way/221257683,Quillerwald,"[9.469447829366857, 51.17961329273035, 9.476598381331993, 51.18410760467546]"
lon_9.7216043_lat_50.461791,way/221257689,Riederberg,"[9.717721740924778, 50.46060835606486, 9.724763407263351, 50.4651032244863]"
