id_rest,id_OSM_rest,name,bbox
lon_8.6071636_lat_49.9067628,way/201322818,Brühlgraben,"[8.606230651192627, 49.902689383143674, 8.614583315792258, 49.90808374328896]"
lon_9.8233956_lat_52.5072277,way/201389697,Springhorst,"[9.82076420616563, 52.501967111647645, 9.82960058816698, 52.507359064123705]"
lon_9.1016757_lat_53.0145562,way/201628205,,"[9.097907321517718, 53.0105393187608, 9.106847238502793, 53.01593080621634]"
lon_9.4541541_lat_52.8865005,way/201732963,Hamwiede Süd,"[9.44837782980137, 52.88460462443595, 9.45729140197836, 52.88999622867561]"
lon_9.4711124_lat_52.8827146,way/201734481,Hamwiede Nord,"[9.470236071643583, 52.87890829601944, 9.479148809130116, 52.884299903976206]"
lon_9.6499469_lat_52.7971201,way/201921095,Krelinger Heide,"[9.646057921197745, 52.79504600799839, 9.654953061555588, 52.80043769456484]"
lon_9.7749645_lat_52.577053,way/202065755,Up´n Bummelskampe,"[9.773947321794871, 52.57274502623049, 9.782797653441694, 52.57813691509606]"
lon_9.7769111_lat_52.5742903,way/202066346,Osterriehe,"[9.769531940908193, 52.5721353503725, 9.778382343442361, 52.577527238915586]"
lon_9.7910429_lat_52.9061454,way/202258565,Dorfmark,"[9.788299487832784, 52.90251777642995, 9.797216870346354, 52.90790936371443]"
lon_9.679135_lat_52.8070774,way/202276064,Wolfsgrund Ost,"[9.678237181592209, 52.80690644004162, 9.687134962568066, 52.81229811478206]"
lon_9.6807029_lat_52.8134767,way/202276065,Wolfsgrund West,"[9.676729527353093, 52.80948321871981, 9.685627800760074, 52.814874891256075]"
lon_9.9534437_lat_53.3780392,way/205198182,Sunderblick,"[9.945667372419942, 53.37429940100371, 9.954683251437684, 53.37969055746209]"
lon_9.9577331_lat_53.3781014,way/205198183,Hittfeld,"[9.954933202921325, 53.37670249447986, 9.96394909656507, 53.38209365087531]"
lon_9.8798749_lat_53.3889549,way/206005823,Rosengarten,"[9.878746600134749, 53.38834411858935, 9.887765076944477, 53.39373526387637]"
lon_9.8725742_lat_53.3827185,way/206303722,Rosengarten,"[9.870554475411707, 53.38148390192375, 9.879571651099821, 53.386875052804825]"
